Chi-squared,1.51511091,,,,,,,
Parameter,Value,Error,,,,,,
bg_a,32.70477083,3.95880628,,,,,,
bg_b,4.455616031,2.540830238,,,,,,
bg_c,-2.025033404,0.380361539,,,,,,
center_1,-0.002353106,0.004383311,,,,,,
area_1,165.9053934,5.243913948,,,,,,
FWHM_1,0.310397603,0.009969523,,,,,,
center_2,0.416494821,0.024300822,,,,,,
area_2,17.07873501,3.177434235,,,,,,
FWHM_2,0.278587676,0.051204291,,,,,,
center_3,1.015944692,0.021233864,,,,,,
area_3,8.180222698,1.811353947,,,,,,
FWHM_3,0.240844359,0.052340195,,,,,,
,,,,,,,,
x_data,y_data,yerr_data,x_fit,y_fit,y_bg,gaussian_1,gaussian_2,gaussian_3
-0.4,40.07746039,6.33067614,-0.4,35.90274535,30.59851908,5.304226274,2.61E-09,7.68E-41
-0.35,64.33126395,8.020677275,-0.395045872,36.56542362,30.62856889,5.936854721,3.49E-09,1.50E-40
-0.3,74.91759645,8.655495159,-0.390091743,37.2940754,30.6585193,6.635556092,4.64E-09,2.92E-40
-0.25,110.6322169,10.51818506,-0.385137615,38.09438812,30.68837031,7.406017807,6.17E-09,5.68E-40
-0.2,189.2249305,13.75590529,-0.380183486,38.97239254,30.71812192,8.254270616,8.19E-09,1.10E-39
-0.15,292.973813,17.11647782,-0.375229358,39.9344666,30.74777412,9.186692469,1.08E-08,2.13E-39
-0.1,415.6797794,20.38822649,-0.370275229,40.98733717,30.77732692,10.21001024,1.43E-08,4.11E-39
-0.05,508.0503184,22.53997157,-0.365321101,42.13807938,30.80678032,11.33129903,1.89E-08,7.92E-39
0,536.0049915,23.1517816,-0.360366972,43.39411322,30.83613432,12.55797887,2.49E-08,1.52E-38
0.05,497.5950362,22.30683833,-0.355412844,44.76319732,30.86538891,13.89780838,3.28E-08,2.92E-38
0.1,410.9839784,20.27273978,-0.350458716,46.25341946,30.89454411,15.35887531,4.31E-08,5.58E-38
0.15,302.002894,17.37823046,-0.345504587,47.87318358,30.9235999,16.94958362,5.65E-08,1.06E-37
0.2,191.9551359,13.85478747,-0.340550459,49.63119315,30.95255628,18.67863679,7.39E-08,2.03E-37
0.25,131.1429766,11.4517674,-0.33559633,51.53643057,30.98141327,20.55501721,9.65E-08,3.85E-37
0.3,102.2722274,10.11297322,-0.330642202,53.59813233,31.01017085,22.58796135,1.26E-07,7.29E-37
0.35,106.6400242,10.32666569,-0.325688073,55.82575983,31.03882903,24.78693064,1.64E-07,1.38E-36
0.4,93.07805887,9.647697076,-0.320733945,58.22896561,31.06738781,27.16157759,2.13E-07,2.60E-36
0.45,92.70156875,9.628165388,-0.315779817,60.81755485,31.09584718,29.72170739,2.76E-07,4.88E-36
0.5,80.14824565,8.952555258,-0.310825688,63.60144206,31.12420716,32.47723454,3.57E-07,9.17E-36
0.55,59.39111981,7.706563424,-0.30587156,66.59060278,31.15246773,35.43813459,4.62E-07,1.72E-35
0.6,51.9918356,7.210536429,-0.300917431,69.79502039,31.1806289,38.6143909,5.96E-07,3.21E-35
0.65,48.04378479,6.931362405,-0.295963303,73.22462794,31.20869066,42.01593651,7.68E-07,5.97E-35
0.7,42.81917234,6.543636018,-0.291009174,76.8892451,31.23665303,45.65259109,9.87E-07,1.11E-34
0.75,34.88926003,5.906713133,-0.286055046,80.79851034,31.26451599,49.53399309,1.27E-06,2.06E-34
0.8,45.03124148,6.710532131,-0.281100917,84.96180854,31.29227955,53.66952737,1.62E-06,3.81E-34
0.85,48.01826351,6.92952116,-0.276146789,89.38819423,31.3199437,58.06824845,2.08E-06,7.04E-34
0.9,48.72699857,6.980472661,-0.271192661,94.08631085,31.34750846,62.73879974,2.65E-06,1.30E-33
0.95,60.09604257,7.752163735,-0.266238532,99.06430627,31.37497381,67.68932909,3.38E-06,2.38E-33
1,62.02000004,7.875277775,-0.261284404,104.3297452,31.40233976,72.92740113,4.30E-06,4.37E-33
1.05,70.60004141,8.402383079,-0.256330275,109.8895187,31.42960631,78.45990696,5.46E-06,7.99E-33
1.1,56.73497325,7.53226216,-0.251376147,115.749752,31.45677345,84.29297161,6.92E-06,1.46E-32
1.15,59.52985171,7.715559066,-0.246422018,121.9157101,31.48384119,90.43186014,8.75E-06,2.65E-32
1.2,35.04224783,5.919649299,-0.24146789,128.3917035,31.51080953,96.88088287,1.11E-05,4.82E-32
1.25,33.36410801,5.776167243,-0.236513761,135.1809932,31.53767847,103.6433007,1.39E-05,8.73E-32
1.3,27.53874779,5.247737397,-0.231559633,142.285697,31.56444801,110.7212314,1.76E-05,1.58E-31
1.35,42.04117884,6.483916936,-0.226605505,149.7066974,31.59111814,118.1155572,2.21E-05,2.85E-31
1.4,28.28365562,5.318238019,-0.221651376,157.443552,31.61768887,125.8258355,2.77E-05,5.12E-31
1.45,29.86017874,5.464446791,-0.216697248,165.4944079,31.6441602,133.850213,3.47E-05,9.19E-31
1.5,36.56133736,6.046597172,-0.211743119,173.8559199,31.67053212,142.1853444,4.33E-05,1.65E-30
1.55,25.30142097,5.030051786,-0.206788991,182.5231757,31.69680465,150.826317,5.41E-05,2.94E-30
1.6,32.05179848,5.66143078,-0.201834862,191.4896264,31.72297777,159.7665812,6.74E-05,5.24E-30
1.65,27.80454142,5.273001178,-0.196880734,200.7470251,31.74905149,168.9978898,8.38E-05,9.32E-30
1.7,37.55781202,6.128442871,-0.191926606,210.2853747,31.7750258,178.5102449,0.000104027,1.65E-29
1.75,41.31125136,6.427382932,-0.186972477,220.0928845,31.80090072,188.2918549,0.000128913,2.92E-29
1.8,32.06480013,5.662578929,-0.182018349,230.1559378,31.82667623,198.3291021,0.000159472,5.16E-29
1.85,31.81845001,5.640784521,-0.17706422,240.4590709,31.85235234,208.6065216,0.000196929,9.10E-29
1.9,32.5722,5.707205971,-0.172110092,250.9849644,31.87792905,219.1067926,0.000242758,1.60E-28
1.95,34.32605,5.858843743,-0.167155963,261.7144473,31.90340635,229.8107423,0.000298727,2.80E-28
2,32.08,5.663920903,-0.162201835,272.6265148,31.92878425,240.6973636,0.000366957,4.90E-28
2.05,33.83405,5.816704393,-0.157247706,283.6983603,31.95406275,251.7438475,0.000449982,8.56E-28
2.1,34.5882,5.881173352,-0.152293578,294.9054216,31.97924185,262.925629,0.000550823,1.49E-27
2.15,39.34245,6.272356017,-0.14733945,306.221443,32.00432155,274.2164483,0.000673082,2.59E-27
2.2,30.0968,5.486055049,-0.142385321,317.6185507,32.02930184,285.5884278,0.000821037,4.48E-27
2.25,38.85125,6.233077089,-0.137431193,329.0673449,32.05418273,297.0121624,0.000999759,7.75E-27
2.3,37.6058,6.132356806,-0.132477064,340.5370057,32.07896422,308.4568262,0.001215253,1.34E-26
2.35,31.36045,5.600040178,-0.127522936,351.995414,32.1036463,319.8902931,0.001474607,2.30E-26
2.4,28.1152,5.302376826,-0.122568807,363.4092863,32.12822899,331.2792711,0.001786177,3.95E-26
2.45,32.87005,5.733240794,-0.117614679,374.7443231,32.15271227,342.5894511,0.002159787,6.76E-26
2.5,29.625,5.442885264,-0.11266055,385.9653702,32.17709615,353.785667,0.002606969,1.16E-25
2.55,31.38005,5.601789893,-0.107706422,397.0365912,32.20138062,364.8320693,0.003141227,1.97E-25
2.6,30.1352,5.489553716,-0.102752294,407.9216515,32.2255657,375.6923075,0.00377834,3.35E-25
2.65,36.89045,6.0737509,-0.097798165,418.5839113,32.24965137,386.3297232,0.004536713,5.68E-25
2.7,30.6458,5.535864883,-0.092844037,428.9866265,32.27363764,396.7075511,0.00543776,9.62E-25
2.75,25.40125,5.039965278,-0.087889908,439.0931571,32.2975245,406.7891262,0.006506345,1.62E-24
2.8,31.1568,5.581827658,-0.08293578,448.8671794,32.32131197,416.5380961,0.007771281,2.74E-24
2.85,26.91245,5.18772108,-0.077981651,458.2729029,32.34500003,425.918637,0.009265878,4.60E-24
2.9,34.6682,5.887970788,-0.073027523,467.2752879,32.36858869,434.8956706,0.011028564,7.71E-24
2.95,18.42405,4.292324545,-0.068073394,475.8402631,32.39207795,443.4350816,0.013103575,1.29E-23
3,29.18,5.401851534,-0.063119266,483.9349417,32.4154678,451.5039322,0.015541718,2.15E-23
3.05,18.93605,4.351557193,-0.058165138,491.5278324,32.43875826,459.0706729,0.018401224,3.59E-23
3.1,27.6922,5.262337883,-0.053211009,498.5890457,32.46194931,466.1053477,0.021748675,5.96E-23
3.15,30.44845,5.518011417,-0.048256881,505.0904922,32.48504095,472.5797912,0.02566004,9.87E-23
3.2,34.2048,5.848486984,-0.043302752,511.0060711,32.5080332,478.4678161,0.030221798,1.63E-22
3.25,30.96125,5.564283422,-0.038348624,516.3118478,32.53092604,483.7453896,0.035532166,2.69E-22
3.3,28.7178,5.358899141,-0.033394495,520.9862186,32.55371948,488.3907967,0.041702443,4.43E-22
3.35,28.47445,5.336145613,-0.028440367,525.0100608,32.57641352,492.3847888,0.048858456,7.27E-22
3.4,27.2312,5.21835223,-0.023486239,528.3668675,32.59900816,495.7107172,0.057142129,1.19E-21
3.45,25.98805,5.097847585,-0.01853211,531.0428642,32.62150339,498.3546477,0.066713161,1.95E-21
3.5,30.745,5.5448174,-0.013577982,533.0271088,32.64389922,500.3054587,0.077750833,3.17E-21
3.55,16.50205,4.062271532,-0.008623853,534.3115704,32.66619565,501.5549188,0.090455924,5.16E-21
3.6,20.2592,4.501022106,-0.003669725,534.89119,32.68839268,502.0977446,0.105052744,8.38E-21
3.65,16.01645,4.002055722,0.001284404,534.7639195,32.7104903,501.9316379,0.121791287,1.36E-20
3.7,26.7738,5.174340538,0.006238532,533.9307401,32.73248853,501.0573021,0.140949477,2.19E-20
3.75,31.53125,5.615269361,0.011192661,532.3956602,32.75438735,499.4784373,0.162835519,3.53E-20
3.8,15.2888,3.910089513,0.016146789,530.1656909,32.77618676,497.2017138,0.18779034,5.67E-20
3.85,14.04645,3.747859389,0.021100917,527.2508024,32.79788678,494.2367255,0.21619009,9.10E-20
3.9,18.8042,4.33638098,0.026055046,523.6638585,32.81948739,490.5959224,0.24844871,1.46E-19
3.95,27.56205,5.249957143,0.031009174,519.4205329,32.8409886,486.2945238,0.285020526,2.32E-19
4,19.32,4.395452195,0.035963303,514.539205,32.86239041,481.3504118,0.326402862,3.70E-19
4.05,20.07805,4.480853713,0.040917431,509.0408393,32.88369281,475.7840079,0.373138625,5.88E-19
4.1,18.8362,4.340069124,0.04587156,502.9488471,32.90489582,469.6181324,0.425818853,9.32E-19
4.15,20.59445,4.53811084,0.050825688,496.2889333,32.92599942,462.8778487,0.485085164,1.47E-18
4.2,10.3528,3.217576728,0.055779817,489.0889291,32.94700362,455.5902934,0.551632098,2.32E-18
4.25,17.11125,4.13657467,0.060733945,481.3786125,32.96790841,447.7844948,0.626209271,3.66E-18
4.3,11.8698,3.44525761,0.065688073,473.1895176,32.9887138,439.4911805,0.709623333,5.74E-18
4.35,24.62845,4.962705915,0.070642202,464.5547356,33.0094198,430.7425761,0.80273964,9.00E-18
4.4,13.3872,3.658852279,0.07559633,455.5087078,33.03002638,421.5721978,0.906483619,1.41E-17
4.45,17.14605,4.140778912,0.080550459,446.0870142,33.05053357,412.0146389,1.021841745,2.19E-17
4.5,20.905,4.572198596,0.085504587,436.3261574,33.07094136,402.105354,1.149862074,3.41E-17
4.55,9.66405,3.108705518,0.090458716,426.2633455,33.09124974,391.8804415,1.291654281,5.29E-17
4.6,26.4232,5.140350183,0.095412844,415.9362747,33.11145872,381.3764269,1.448389122,8.19E-17
4.65,14.18245,3.765959373,0.100366972,405.3829141,33.13156829,370.6300485,1.621297265,1.27E-16
4.7,11.9418,3.455690958,0.105321101,394.6412929,33.15157847,359.678047,1.811667421,1.95E-16
4.75,18.70125,4.32449419,0.110275229,383.7492939,33.17148924,348.556961,2.020843714,3.00E-16
4.8,19.4608,4.411439674,0.115229358,372.7444526,33.19130061,337.3029297,2.250222226,4.60E-16
4.85,20.22045,4.496715468,0.120183486,361.6637641,33.21101258,325.9515048,2.501246656,7.04E-16
4.9,11.9802,3.461242551,0.125137615,350.5434998,33.23062514,314.5374716,2.775403048,1.07E-15
4.95,15.74005,3.967373186,0.130091743,339.4190339,33.25013831,303.094682,3.07421353,1.64E-15
5,0,1,0.135045872,328.3246806,33.26955207,291.6558995,3.399229031,2.49E-15
,,,0.14,317.2935443,33.28886642,280.2526569,3.752020941,3.77E-15
,,,0.144954128,306.3573819,33.30808138,268.9151288,4.134171692,5.70E-15
,,,0.149908257,295.5464781,33.32719693,257.6720169,4.547264255,8.60E-15
,,,0.154862385,284.889535,33.34621308,246.5504514,4.992870548,1.29E-14
,,,0.159816514,274.4135752,33.36512983,235.5759066,5.472538782,1.94E-14
,,,0.164770642,264.1438586,33.38394718,224.7721317,5.98777977,2.91E-14
,,,0.169724771,254.1038138,33.40266512,214.1610964,6.540052253,4.35E-14
,,,0.174678899,244.3149825,33.42128367,203.7629515,7.130747307,6.49E-14
,,,0.179633028,234.7969783,33.4398028,193.5960036,7.761171923,9.66E-14
,,,0.184587156,225.5674582,33.45822254,183.6767038,8.432531846,1.43E-13
,,,0.189541284,216.6421066,33.47654288,174.0196499,9.145913824,2.12E-13
,,,0.194495413,208.0346316,33.49476381,164.6376005,9.902267378,3.14E-13
,,,0.199449541,199.7567738,33.51288534,155.5415022,10.70238627,4.62E-13
,,,0.20440367,191.8183243,33.53090747,146.740527,11.54688985,6.80E-13
,,,0.209357798,184.2271541,33.54883019,138.2421195,12.43620446,9.97E-13
,,,0.214311927,176.989253,33.56665351,130.0520544,13.37054508,1.46E-12
,,,0.219266055,170.1087761,33.58437743,122.1745011,14.34989756,2.13E-12
,,,0.224220183,163.5880997,33.60200195,114.6120962,15.37400145,3.10E-12
,,,0.229174312,157.4278827,33.61952707,107.3660217,16.44233391,4.51E-12
,,,0.23412844,151.627136,33.63695278,100.4360885,17.55409475,6.54E-12
,,,0.239082569,146.1832964,33.65427909,93.82082426,18.70819301,9.46E-12
,,,0.244036697,141.0923053,33.671506,87.51756415,19.90323516,1.36E-11
,,,0.248990826,136.3486927,33.68863351,81.52254385,21.13751532,1.96E-11
,,,0.253944954,131.9456632,33.70566161,75.83099395,22.40900768,2.82E-11
,,,0.258899083,127.8751863,33.72259031,70.43723477,23.71536125,4.04E-11
,,,0.263853211,124.1280876,33.73941961,65.33477075,25.05389727,5.78E-11
,,,0.268807339,120.6941428,33.75614951,60.51638388,26.42160946,8.24E-11
,,,0.273761468,117.5621724,33.77278,55.97422519,27.81516717,1.17E-10
,,,0.278715596,114.7201367,33.78931109,51.69990396,29.23092164,1.67E-10
,,,0.283669725,112.1552321,33.80574278,47.68457386,30.66491548,2.36E-10
,,,0.288623853,109.8539862,33.82207507,43.91901583,32.11289535,3.33E-10
,,,0.293577982,107.8023529,33.83830795,40.39371688,33.57032803,4.70E-10
,,,0.29853211,105.985806,33.85444144,37.09894494,35.03241967,6.61E-10
,,,0.303486239,104.3894329,33.87047552,34.02481907,36.49413829,9.27E-10
,,,0.308440367,102.9980248,33.88641019,31.16137511,37.95023949,1.30E-09
,,,0.313394495,101.7961669,33.90224547,28.49862639,39.39529503,1.81E-09
,,,0.318348624,100.7683253,33.91798134,26.02661966,40.82372431,2.52E-09
,,,0.323302752,99.89893213,33.93361781,23.73548593,42.22982838,3.51E-09
,,,0.328256881,99.17246764,33.94915488,21.61548643,43.60782633,4.86E-09
,,,0.333211009,98.57353981,33.96459255,19.65705365,44.9518936,6.73E-09
,,,0.338165138,98.08696056,33.97993081,17.85082764,46.25620209,9.28E-09
,,,0.343119266,97.69781874,33.99516967,16.1876876,47.51496145,1.28E-08
,,,0.348073394,97.39154945,34.01030913,14.65877897,48.72246133,1.76E-08
,,,0.353027523,97.15399959,34.02534919,13.25553627,49.87311412,2.41E-08
,,,0.357981651,96.97148939,34.04028984,11.96970183,50.96149768,3.29E-08
,,,0.36293578,96.83086955,34.05513109,10.7933407,51.98239771,4.49E-08
,,,0.367889908,96.71957407,34.06987294,9.718851894,52.93084917,6.11E-08
,,,0.372844037,96.62566825,34.08451539,8.738976387,53.80217639,8.29E-08
,,,0.377798165,96.53789197,34.09905843,7.846801959,54.59203146,1.12E-07
,,,0.382752294,96.44569776,34.11350208,7.035765268,55.29643027,1.52E-07
,,,0.387706422,96.33928385,34.12784632,6.29965137,55.91178596,2.05E-07
,,,0.39266055,96.20962178,34.14209115,5.632590959,56.43493939,2.75E-07
,,,0.397614679,96.04847862,34.15623659,5.029055585,56.86318608,3.69E-07
,,,0.402568807,95.84843375,34.17028262,4.483851097,57.19429954,4.94E-07
,,,0.407522936,95.60289001,34.18422925,3.992109563,57.42655054,6.60E-07
,,,0.412477064,95.30607936,34.19807648,3.54927987,57.55872213,8.79E-07
,,,0.417431193,94.95306305,34.21182431,3.151117257,57.59012031,1.17E-06
,,,0.422385321,94.53972628,34.22547273,2.793671943,57.52058006,1.55E-06
,,,0.42733945,94.06276765,34.23902175,2.473277077,57.35046678,2.05E-06
,,,0.432293578,93.51968334,34.25247137,2.186536153,57.08067311,2.71E-06
,,,0.437247706,92.90874638,34.26582159,1.930310071,56.71261116,3.57E-06
,,,0.442201835,92.22898119,34.2790724,1.701703981,56.24820012,4.68E-06
,,,0.447155963,91.48013364,34.29222381,1.498054029,55.68984966,6.14E-06
,,,0.452110092,90.66263707,34.30527582,1.316914147,55.04043908,8.03E-06
,,,0.45706422,89.77757442,34.31822843,1.15604296,54.30329256,1.05E-05
,,,0.462018349,88.82663706,34.33108163,1.013390918,53.48215088,1.36E-05
,,,0.466972477,87.8120806,34.34383543,0.887087717,52.58113976,1.77E-05
,,,0.471926606,86.73667822,34.35648983,0.775430088,51.60473538,2.29E-05
,,,0.476880734,85.60367184,34.36904483,0.676869982,50.5577274,2.96E-05
,,,0.481834862,84.41672175,34.38150043,0.590003224,49.4451799,3.82E-05
,,,0.486788991,83.17985506,34.39385662,0.513558639,48.27239067,4.91E-05
,,,0.491743119,81.89741357,34.40611341,0.446387698,47.04484941,6.31E-05
,,,0.496697248,80.57400137,34.4182708,0.387454688,45.76819516,8.07E-05
,,,0.501651376,79.21443283,34.43032878,0.335827415,44.44817352,0.000103113
,,,0.506605505,77.82368124,34.44228737,0.290668451,43.09059403,0.000131396
,,,0.511559633,76.40682877,34.45414655,0.251226918,41.70128826,0.000167046
,,,0.516513761,74.96901788,34.46590633,0.216830799,40.28606889,0.000211869
,,,0.52146789,73.51540482,34.4775667,0.186879771,38.85069025,0.000268091
,,,0.526422018,72.05111538,34.48912768,0.160838546,37.40081072,0.000338436
,,,0.531376147,70.58120335,34.50058925,0.138230701,35.94195716,0.000426239
,,,0.536330275,69.11061183,34.51195142,0.11863297,34.47949188,0.000535562
,,,0.541284404,67.64413771,34.52321418,0.10167,33.01858218,0.000671348
,,,0.546238532,66.18639952,34.53437755,0.087009518,31.56417287,0.000839589
,,,0.551192661,64.74180871,34.54544151,0.07435792,30.12096175,0.001047531
,,,0.556146789,63.31454454,34.55640607,0.063456223,28.69337834,0.001303912
,,,0.561100917,61.90853266,34.56727123,0.054076396,27.2855658,0.001619237
,,,0.566055046,60.52742727,34.57803698,0.046018004,25.90136618,0.002006104
,,,0.571009174,59.17459702,34.58870333,0.039105184,24.54430893,0.002479578
,,,0.575963303,57.85311444,34.59927028,0.0331839,23.21760264,0.003057617
,,,0.580917431,56.56574887,34.60973783,0.028119464,21.92413,0.003761572
,,,0.58587156,55.31496278,34.62010598,0.023794313,20.66644573,0.004616754
,,,0.590825688,54.10291126,34.63037472,0.020106007,19.44677745,0.005653079
,,,0.595779817,52.9314446,34.64054406,0.016965435,18.26702929,0.006905807
,,,0.600733945,51.80211362,34.650614,0.014295216,17.12878804,0.008416371
,,,0.605688073,50.71617768,34.66058453,0.012028264,16.03333157,0.010233315
,,,0.610642202,49.674615,34.67045567,0.010106521,14.98163946,0.012413345
,,,0.61559633,48.67813513,34.6802274,0.008479827,13.9744054,0.015022504
,,,0.620550459,47.72719331,34.68989973,0.007104913,13.01205119,0.018137478
,,,0.625504587,46.82200646,34.69947265,0.005944524,12.09474225,0.021847033
,,,0.630458716,45.96257046,34.70894618,0.004966632,11.22240404,0.026253612
,,,0.635412844,45.14867867,34.7183203,0.004143748,10.39473956,0.03147507
,,,0.640366972,44.37994123,34.72759502,0.003452322,9.611247327,0.037646566
,,,0.645321101,43.65580504,34.73677034,0.002872206,8.871239878,0.044922619
,,,0.650275229,42.97557414,34.74584625,0.002386199,8.173862375,0.053479309
,,,0.655229358,42.3384303,34.75482276,0.00197963,7.518111259,0.063516645
,,,0.660183486,41.74345363,34.76369987,0.001640016,6.902852677,0.075261061
,,,0.665137615,41.18964295,34.77247758,0.001356746,6.326840553,0.088968066
,,,0.670091743,40.67593584,34.78115589,0.001120819,5.788734132,0.104925005
,,,0.675045872,40.20122819,34.78973479,0.000924611,5.28711487,0.123453917
,,,0.68,39.764393,34.79821429,0.000761674,4.820502559,0.144914479
,,,0.684954128,39.36429851,34.80659439,0.000626565,4.387370575,0.169706985
,,,0.689908257,38.9998253,34.81487508,0.000514694,3.98616019,0.198275332
,,,0.694862385,38.66988243,34.82305638,0.0004222,3.615293877,0.231109971
,,,0.699816514,38.37342244,34.83113827,0.00034584,3.273187565,0.268750766
,,,0.704770642,38.10945517,34.83912076,0.00028289,2.95826182,0.311789704
,,,0.709724771,37.87706024,34.84700384,0.000231072,2.668951938,0.360873388
,,,0.714678899,37.67539821,34.85478753,0.000188479,2.403716954,0.416705254
,,,0.719633028,37.50372031,34.86247181,0.00015352,2.161047581,0.480047403
,,,0.724587156,37.36137666,34.87005669,0.000124869,1.9394731,0.551722001
