Chi-squared,1.51511091,,,,,,,
,,,0.729541284,37.24782295,34.87754217,0.000101421,1.737567243,0.632612125
,,,0.734495413,37.16262558,34.88492824,8.23E-05,1.553953108,0.723661971
,,,0.739449541,37.10546503,34.89221491,6.66E-05,1.387307159,0.825876331
,,,0.74440367,37.07613766,34.89940218,5.39E-05,1.236362357,0.940319233
,,,0.749357798,37.07455572,34.90649005,4.35E-05,1.099910504,1.068111642
,,,0.754311927,37.10074558,34.91347851,3.51E-05,0.97680383,1.210428131
,,,0.759266055,37.1548442,34.92036758,2.83E-05,0.865955923,1.368492427
,,,0.764220183,37.23709375,34.92715724,2.27E-05,0.766342037,1.543571739
,,,0.769174312,37.34783442,34.9338475,1.83E-05,0.676998864,1.736969804
,,,0.77412844,37.48749539,34.94043835,1.46E-05,0.597023822,1.950018578
,,,0.779082569,37.65658397,34.9469298,1.17E-05,0.525573923,2.184068522
,,,0.784036697,37.85567298,34.95332185,9.38E-06,0.461864291,2.440477457
,,,0.788990826,38.08538634,34.9596145,7.49E-06,0.405166372,2.72059798
,,,0.793944954,38.34638307,34.96580775,5.97E-06,0.354805896,3.025763449
,,,0.798899083,38.63933957,34.97190159,4.76E-06,0.310160646,3.357272581
,,,0.803853211,38.96493062,34.97789603,3.78E-06,0.270658073,3.716372733
,,,0.808807339,39.32380884,34.98379107,3.00E-06,0.235772803,4.104241965
,,,0.813761468,39.71658318,34.98958671,2.38E-06,0.205024073,4.521970016
,,,0.818715596,40.14379632,34.99528294,1.89E-06,0.177973129,4.970538366
,,,0.823669725,40.60590145,35.00087978,1.49E-06,0.15422062,5.450799563
,,,0.828623853,41.10323847,35.00637721,1.18E-06,0.133404009,5.963456075
,,,0.833577982,41.63601009,35.01177523,9.28E-07,0.115195032,6.509038902
,,,0.83853211,42.20425806,35.01707386,7.31E-07,0.099297209,7.08788626
,,,0.843486239,42.80783975,35.02227308,5.75E-07,0.085443448,7.700122646
,,,0.848440367,43.4464057,35.0273729,4.51E-07,0.073393723,8.345638629
,,,0.853394495,44.11937827,35.03237332,3.54E-07,0.062932865,9.024071729
,,,0.858348624,44.82593183,35.03727433,2.77E-07,0.053868454,9.734788761
,,,0.863302752,45.56497501,35.04207595,2.17E-07,0.046028832,10.47687001
,,,0.868256881,46.33513519,35.04677816,1.69E-07,0.039261223,11.24909564
,,,0.873211009,47.13474577,35.05138097,1.32E-07,0.03342998,12.04993469
,,,0.878165138,47.96183644,35.05588437,1.03E-07,0.028414946,12.87753702
,,,0.883119266,48.81412695,35.06028838,7.98E-08,0.024109933,13.72972856
,,,0.888073394,49.68902448,35.06459298,6.19E-08,0.020421309,14.60401013
,,,0.893027523,50.58362506,35.06879818,4.80E-08,0.01726671,15.49756013
,,,0.897981651,51.49471913,35.07290397,3.72E-08,0.014573841,16.40724128
,,,0.90293578,52.41880141,35.07691037,2.87E-08,0.012279393,17.32961162
,,,0.907889908,53.35208523,35.08081736,2.22E-08,0.010328047,18.2609398
,,,0.912844037,54.29052131,35.08462495,1.71E-08,0.008671574,19.19722477
,,,0.917798165,55.22982097,35.08833313,1.32E-08,0.00726802,20.1342198
,,,0.922752294,56.16548352,35.09194192,1.01E-08,0.006080967,21.06746062
,,,0.927706422,57.09282793,35.0954513,7.76E-09,0.005078877,21.99229775
,,,0.93266055,58.00702814,35.09886128,5.95E-09,0.00423449,22.90393236
,,,0.937614679,58.90315195,35.10217186,4.56E-09,0.003524301,23.79745579
,,,0.942568807,59.77620292,35.10538303,3.48E-09,0.002928082,24.6678918
,,,0.947522936,60.62116485,35.10849481,2.66E-09,0.002428466,25.51024158
,,,0.952477064,61.43304825,35.11150718,2.03E-09,0.00201057,26.3195305
,,,0.957431193,62.20693825,35.11442015,1.54E-09,0.00166167,27.09085643
,,,0.962385321,62.93804322,35.11723371,1.17E-09,0.00137091,27.8194386
,,,0.96733945,63.62174358,35.11994788,8.89E-10,0.001129045,28.50066666
,,,0.972293578,64.25363986,35.12256264,6.74E-10,0.000928223,29.130149
,,,0.977247706,64.82959952,35.12507799,5.10E-10,0.000761783,29.70375974
,,,0.982201835,65.34580176,35.12749395,3.86E-10,0.000624093,30.21768371
,,,0.987155963,65.79877951,35.12981051,2.91E-10,0.000510394,30.66845861
,,,0.992110092,66.18545818,35.13202766,2.19E-10,0.000416677,31.05301384
,,,0.99706422,66.50319034,35.13414541,1.65E-10,0.000339573,31.36870537
,,,1.002018349,66.74978592,35.13616375,1.24E-10,0.000276251,31.61334591
,,,1.006972477,66.9235373,35.1380827,9.31E-11,0.000224344,31.78523026
,,,1.011926606,67.02323912,35.13990224,6.98E-11,0.000181871,31.883155
,,,1.016880734,67.04820217,35.14162238,5.22E-11,0.00014718,31.90643261
,,,1.021834862,66.99826145,35.14324312,3.90E-11,0.000118898,31.85489944
,,,1.026788991,66.87377799,35.14476445,2.91E-11,9.59E-05,31.72891766
,,,1.031743119,66.67563458,35.14618638,2.17E-11,7.72E-05,31.52937101
,,,1.036697248,66.40522544,35.14750891,1.61E-11,6.20E-05,31.2576545
,,,1.041651376,66.06443993,35.14873204,1.20E-11,4.98E-05,30.91565813
,,,1.046605505,65.65564065,35.14985577,8.90E-12,3.98E-05,30.50574503
,,,1.051559633,65.18163619,35.15088009,6.59E-12,3.19E-05,30.03072425
,,,1.056513761,64.64564913,35.15180501,4.88E-12,2.54E-05,29.4938187
,,,1.06146789,64.05127959,35.15263053,3.60E-12,2.02E-05,28.89862881
,,,1.066422018,63.40246503,35.15335665,2.66E-12,1.61E-05,28.24909228
,,,1.071376147,62.70343695,35.15398336,1.96E-12,1.28E-05,27.54944081
,,,1.076330275,61.95867508,35.15451067,1.44E-12,1.01E-05,26.80415428
,,,1.081284404,61.17285977,35.15493858,1.06E-12,8.01E-06,26.01791318
,,,1.086238532,60.35082331,35.15526709,7.77E-13,6.33E-06,25.1955499
,,,1.091192661,59.49750088,35.15549619,5.69E-13,4.99E-06,24.3419997
,,,1.096146789,58.61788178,35.15562589,4.17E-13,3.92E-06,23.46225196
,,,1.101100917,57.71696165,35.15565619,3.04E-13,3.08E-06,22.56130238
,,,1.106055046,56.7996963,35.15558709,2.22E-13,2.42E-06,21.64410679
,,,1.111009174,55.87095769,35.15541859,1.62E-13,1.89E-06,20.71553721
,,,1.115963303,54.93549262,35.15515068,1.18E-13,1.48E-06,19.78034046
,,,1.120917431,53.99788461,35.15478337,8.55E-14,1.15E-06,18.84310009
,,,1.12587156,53.06251927,35.15431666,6.20E-14,8.98E-07,17.90820172
,,,1.130825688,52.13355358,35.15375054,4.49E-14,6.98E-07,16.97980234
,,,1.135779817,51.21488925,35.15308502,3.25E-14,5.41E-07,16.06180368
,,,1.140733945,50.31015034,35.15232011,2.35E-14,4.19E-07,15.15782981
,,,1.145688073,49.42266522,35.15145578,1.69E-14,3.24E-07,14.27120912
,,,1.150642202,48.55545296,35.15049206,1.22E-14,2.50E-07,13.40496065
,,,1.15559633,47.71121387,35.14942893,8.77E-15,1.93E-07,12.56178474
,,,1.160550459,46.89232438,35.1482664,6.30E-15,1.48E-07,11.74405782
,,,1.165504587,46.10083581,35.14700447,4.52E-15,1.14E-07,10.95383122
,,,1.170458716,45.33847694,35.14564314,3.24E-15,8.73E-08,10.19283371
,,,1.175412844,44.60666005,35.1441824,2.32E-15,6.68E-08,9.46247758
,,,1.180366972,43.90649012,35.14262227,1.65E-15,5.10E-08,8.763867806
,,,1.185321101,43.23877687,35.14096273,1.18E-15,3.89E-08,8.097814104
,,,1.190275229,42.60404921,35.13920378,8.40E-16,2.96E-08,7.464845398
,,,1.195229358,42.00257184,35.13734544,5.98E-16,2.25E-08,6.865226381
,,,1.200183486,41.43436348,35.13538769,4.24E-16,1.70E-08,6.298975772
,,,1.205137615,40.89921644,35.13333054,3.01E-16,1.29E-08,5.765885891
,,,1.210091743,40.39671718,35.13117399,2.13E-16,9.75E-09,5.265543184
,,,1.215045872,39.92626738,35.12891803,1.51E-16,7.36E-09,4.79734934
,,,1.22,39.48710535,35.12656268,1.06E-16,5.54E-09,4.360542669
,,,1.224954128,39.07832736,35.12410792,7.51E-17,4.17E-09,3.954219438
,,,1.229908257,38.69890862,35.12155375,5.29E-17,3.13E-09,3.577354862
,,,1.234862385,38.34772372,35.11890019,3.72E-17,2.34E-09,3.228823529
,,,1.239816514,38.02356624,35.11614722,2.61E-17,1.75E-09,2.907419012
,,,1.244770642,37.72516735,35.11329485,1.83E-17,1.31E-09,2.6118725
,,,1.249724771,37.45121337,35.11034308,1.28E-17,9.75E-10,2.34087029
,,,1.254678899,37.20036193,35.10729191,8.97E-18,7.25E-10,2.093070018
,,,1.259633028,36.97125688,35.10414133,6.26E-18,5.38E-10,1.867115542
,,,1.264587156,36.76254177,35.10089135,4.37E-18,3.99E-10,1.66165042
,,,1.269541284,36.57287193,35.09754197,3.04E-18,2.95E-10,1.475329951
,,,1.274495413,36.40092497,35.09409319,2.11E-18,2.18E-10,1.306831779
,,,1.279449541,36.24541007,35.09054501,1.47E-18,1.61E-10,1.154865068
,,,1.28440367,36.10507571,35.08689742,1.02E-18,1.18E-10,1.018178291
,,,1.289357798,35.97871613,35.08315043,7.05E-19,8.71E-11,0.895565699
,,,1.294311927,35.86517655,35.07930403,4.87E-19,6.39E-11,0.785872515
,,,1.299266055,35.76335719,35.07535824,3.36E-19,4.68E-11,0.687998955
,,,1.304220183,35.6722162,35.07131304,2.32E-19,3.42E-11,0.60090316
,,,1.309174312,35.59077156,35.06716844,1.60E-19,2.49E-11,0.523603121
,,,1.31412844,35.51810216,35.06292444,1.10E-19,1.82E-11,0.45517772
,,,1.319082569,35.45334799,35.05858104,7.54E-20,1.32E-11,0.394766958
,,,1.324036697,35.39570973,35.05413823,5.17E-20,9.59E-12,0.341571498
,,,1.328990826,35.34444762,35.04959602,3.54E-20,6.95E-12,0.294851597
,,,1.333944954,35.29887994,35.04495441,2.42E-20,5.03E-12,0.253925534
,,,1.338899083,35.25838102,35.04021339,1.65E-20,3.63E-12,0.21816762
,,,1.343853211,35.22237885,35.03537298,1.13E-20,2.62E-12,0.187005872
,,,1.348807339,35.19035259,35.03043316,7.66E-21,1.88E-12,0.159919427
,,,1.353761468,35.16182971,35.02539394,5.21E-21,1.35E-12,0.136435767
,,,1.358715596,35.13638314,35.02025532,3.54E-21,9.70E-13,0.116127821
,,,1.363669725,35.11362829,35.01501729,2.40E-21,6.94E-13,0.098610996
,,,1.368623853,35.09322005,35.00967986,1.62E-21,4.96E-13,0.083540188
,,,1.373577982,35.07484984,35.00424303,1.10E-21,3.54E-13,0.070606808
,,,1.37853211,35.05824267,34.9987068,7.40E-22,2.52E-13,0.059535875
,,,1.383486239,35.04315435,34.99307116,4.99E-22,1.79E-13,0.050083184
,,,1.388440367,35.02936872,34.98733613,3.36E-22,1.27E-13,0.04203259
,,,1.393394495,35.0166951,34.98150169,2.26E-22,9.00E-14,0.035193415
,,,1.398348624,35.00496584,34.97556784,1.52E-22,6.36E-14,0.029397993
,,,1.403302752,34.99403397,34.9695346,1.02E-22,4.49E-14,0.024499375
,,,1.408256881,34.98377112,34.96340195,6.80E-23,3.16E-14,0.02036917
,,,1.413211009,34.97406547,34.9571699,4.54E-23,2.22E-14,0.016895565
,,,1.418165138,34.96481993,34.95083845,3.03E-23,1.56E-14,0.013981479
,,,1.423119266,34.95595049,34.9444076,2.02E-23,1.09E-14,0.01154289
,,,1.428073394,34.94738464,34.93787734,1.35E-23,7.66E-15,0.009507296
,,,1.433027523,34.93906001,34.93124768,8.94E-24,5.35E-15,0.007812329
,,,1.437981651,34.93092312,34.92451862,5.93E-24,3.73E-15,0.006404497
,,,1.44293578,34.92292822,34.91769016,3.93E-24,2.60E-15,0.005238061
,,,1.447889908,34.91503632,34.91076229,2.60E-24,1.80E-15,0.004274026
,,,1.452844037,34.90721427,34.90373502,1.72E-24,1.25E-15,0.003479243
,,,1.457798165,34.89943397,34.89660835,1.14E-24,8.66E-16,0.002825618
,,,1.462752294,34.89167169,34.88938228,7.48E-25,5.98E-16,0.002289408
,,,1.467706422,34.88390741,34.88205681,4.92E-25,4.13E-16,0.001850605
,,,1.47266055,34.87612433,34.87463193,3.23E-25,2.84E-16,0.001492401
,,,1.477614679,34.86830836,34.86710765,2.12E-25,1.95E-16,0.00120071
,,,1.482568807,34.86044773,34.85948397,1.39E-25,1.34E-16,0.000963767
,,,1.487522936,34.85253265,34.85176088,9.10E-26,9.19E-17,0.000771768
,,,1.492477064,34.84455496,34.84393839,5.95E-26,6.28E-17,0.000616571
,,,1.497431193,34.83650793,34.8360165,3.88E-26,4.29E-17,0.000491428
,,,1.502385321,34.82838598,34.82799521,2.53E-26,2.92E-17,0.000390767
,,,1.50733945,34.82018451,34.81987452,1.65E-26,1.99E-17,0.000309996
,,,1.512293578,34.81189977,34.81165442,1.07E-26,1.35E-17,0.000245345
,,,1.517247706,34.80352864,34.80333492,6.94E-27,9.16E-18,0.000193721
,,,1.522201835,34.79506862,34.79491602,4.49E-27,6.20E-18,0.000152602
,,,1.527155963,34.78651765,34.78639772,2.91E-27,4.19E-18,0.000119929
,,,1.532110092,34.77787404,34.77778001,1.88E-27,2.82E-18,9.40E-05
,,,1.53706422,34.76913645,34.7690629,1.21E-27,1.90E-18,7.36E-05
,,,1.542018349,34.76030379,34.76024639,7.81E-28,1.28E-18,5.74E-05
,,,1.546972477,34.75137517,34.75133048,5.02E-28,8.57E-19,4.47E-05
,,,1.551926606,34.74234987,34.74231516,3.23E-28,5.74E-19,3.47E-05
,,,1.556880734,34.73322734,34.73320045,2.07E-28,3.83E-19,2.69E-05
,,,1.561834862,34.72400712,34.72398633,1.33E-28,2.56E-19,2.08E-05
,,,1.566788991,34.71468884,34.7146728,8.49E-29,1.70E-19,1.60E-05
,,,1.571743119,34.70527222,34.70525988,5.42E-29,1.13E-19,1.23E-05
,,,1.576697248,34.69575702,34.69574755,3.46E-29,7.52E-20,9.47E-06
,,,1.581651376,34.68614308,34.68613582,2.20E-29,4.98E-20,7.26E-06
,,,1.586605505,34.67643023,34.67642469,1.40E-29,3.30E-20,5.54E-06
,,,1.591559633,34.66661838,34.66661415,8.90E-30,2.18E-20,4.23E-06
,,,1.596513761,34.65670743,34.65670422,5.65E-30,1.44E-20,3.21E-06
,,,1.60146789,34.64669732,34.64669488,3.58E-30,9.44E-21,2.44E-06
,,,1.606422018,34.63658798,34.63658614,2.26E-30,6.20E-21,1.85E-06
,,,1.611376147,34.62637939,34.62637799,1.43E-30,4.07E-21,1.39E-06
,,,1.616330275,34.6160715,34.61607045,9.01E-31,2.66E-21,1.05E-06
,,,1.621284404,34.60566429,34.6056635,5.68E-31,1.74E-21,7.89E-07
,,,1.626238532,34.59515774,34.59515715,3.57E-31,1.13E-21,5.92E-07
,,,1.631192661,34.58455184,34.58455139,2.24E-31,7.39E-22,4.43E-07
,,,1.636146789,34.57384657,34.57384624,1.41E-31,4.80E-22,3.30E-07
,,,1.641100917,34.56304193,34.56304168,8.81E-32,3.11E-22,2.46E-07
,,,1.646055046,34.5521379,34.55213772,5.51E-32,2.02E-22,1.83E-07
,,,1.651009174,34.54113449,34.54113436,3.44E-32,1.30E-22,1.35E-07
,,,1.655963303,34.53003169,34.53003159,2.15E-32,8.42E-23,1.00E-07
,,,1.660917431,34.5188295,34.51882942,1.34E-32,5.42E-23,7.39E-08
,,,1.66587156,34.50752791,34.50752785,8.31E-33,3.49E-23,5.44E-08
,,,1.670825688,34.49612692,34.49612688,5.16E-33,2.24E-23,3.99E-08
,,,1.675779817,34.48462654,34.48462651,3.20E-33,1.44E-23,2.92E-08
,,,1.680733945,34.47302675,34.47302673,1.98E-33,9.18E-24,2.14E-08
,,,1.685688073,34.46132757,34.46132755,1.23E-33,5.87E-24,1.56E-08
,,,1.690642202,34.44952898,34.44952897,7.57E-34,3.74E-24,1.13E-08
,,,1.69559633,34.43763099,34.43763099,4.67E-34,2.38E-24,8.22E-09
,,,1.700550459,34.42563361,34.4256336,2.88E-34,1.51E-24,5.95E-09
,,,1.705504587,34.41353682,34.41353681,1.77E-34,9.59E-25,4.30E-09
,,,1.710458716,34.40134062,34.40134062,1.09E-34,6.07E-25,3.10E-09
,,,1.715412844,34.38904503,34.38904503,6.66E-35,3.84E-25,2.23E-09
,,,1.720366972,34.37665003,34.37665003,4.08E-35,2.42E-25,1.60E-09
,,,1.725321101,34.36415563,34.36415563,2.49E-35,1.52E-25,1.14E-09
,,,1.730275229,34.35156183,34.35156183,1.52E-35,9.58E-26,8.16E-10
,,,1.735229358,34.33886863,34.33886863,9.28E-36,6.01E-26,5.81E-10
,,,1.740183486,34.32607602,34.32607602,5.65E-36,3.77E-26,4.13E-10
,,,1.745137615,34.31318402,34.31318402,3.44E-36,2.36E-26,2.92E-10
,,,1.750091743,34.30019261,34.30019261,2.09E-36,1.47E-26,2.07E-10
,,,1.755045872,34.28710179,34.28710179,1.26E-36,9.17E-27,1.46E-10
,,,1.76,34.27391158,34.27391158,7.66E-37,5.70E-27,1.03E-10
,,,1.764954128,34.26062196,34.26062196,4.63E-37,3.54E-27,7.21E-11
,,,1.769908257,34.24723294,34.24723294,2.80E-37,2.20E-27,5.05E-11
,,,1.774862385,34.23374452,34.23374452,1.69E-37,1.36E-27,3.53E-11
,,,1.779816514,34.2201567,34.2201567,1.01E-37,8.39E-28,2.46E-11
,,,1.784770642,34.20646947,34.20646947,6.10E-38,5.17E-28,1.71E-11
,,,1.789724771,34.19268284,34.19268284,3.66E-38,3.19E-28,1.19E-11
,,,1.794678899,34.17879681,34.17879681,2.19E-38,1.96E-28,8.23E-12
,,,1.799633028,34.16481138,34.16481138,1.31E-38,1.20E-28,5.68E-12
,,,1.804587156,34.15072654,34.15072654,7.85E-39,7.35E-29,3.92E-12
,,,1.809541284,34.1365423,34.1365423,4.69E-39,4.49E-29,2.69E-12
,,,1.814495413,34.12225866,34.12225866,2.80E-39,2.74E-29,1.85E-12
,,,1.819449541,34.10787562,34.10787562,1.66E-39,1.67E-29,1.26E-12
,,,1.82440367,34.09339317,34.09339317,9.89E-40,1.02E-29,8.63E-13
,,,1.829357798,34.07881132,34.07881132,5.87E-40,6.17E-30,5.88E-13
,,,1.834311927,34.06413007,34.06413007,3.48E-40,3.74E-30,3.99E-13
,,,1.839266055,34.04934942,34.04934942,2.06E-40,2.26E-30,2.71E-13
,,,1.844220183,34.03446937,34.03446937,1.22E-40,1.36E-30,1.83E-13
,,,1.849174312,34.01948991,34.01948991,7.19E-41,8.23E-31,1.24E-13
,,,1.85412844,34.00441105,34.00441105,4.24E-41,4.95E-31,8.32E-14
,,,1.859082569,33.98923279,33.98923279,2.49E-41,2.97E-31,5.59E-14
,,,1.864036697,33.97395512,33.97395512,1.47E-41,1.78E-31,3.74E-14
,,,1.868990826,33.95857806,33.95857806,8.60E-42,1.07E-31,2.50E-14
,,,1.873944954,33.94310159,33.94310159,5.04E-42,6.37E-32,1.67E-14
,,,1.878899083,33.92752572,33.92752572,2.95E-42,3.80E-32,1.11E-14
,,,1.883853211,33.91185044,33.91185044,1.72E-42,2.26E-32,7.37E-15
,,,1.888807339,33.89607577,33.89607577,1.01E-42,1.35E-32,4.88E-15
,,,1.893761468,33.88020169,33.88020169,5.86E-43,7.98E-33,3.22E-15
,,,1.898715596,33.86422821,33.86422821,3.41E-43,4.73E-33,2.12E-15
,,,1.903669725,33.84815532,33.84815532,1.98E-43,2.80E-33,1.40E-15
,,,1.908623853,33.83198304,33.83198304,1.15E-43,1.65E-33,9.16E-16
,,,1.913577982,33.81571135,33.81571135,6.67E-44,9.72E-34,6.00E-16
,,,1.91853211,33.79934026,33.79934026,3.86E-44,5.72E-34,3.91E-16
,,,1.923486239,33.78286977,33.78286977,2.23E-44,3.36E-34,2.55E-16
,,,1.928440367,33.76629987,33.76629987,1.29E-44,1.97E-34,1.66E-16
,,,1.933394495,33.74963057,33.74963057,7.42E-45,1.15E-34,1.07E-16
,,,1.938348624,33.73286187,33.73286187,4.27E-45,6.72E-35,6.95E-17
,,,1.943302752,33.71599377,33.71599377,2.45E-45,3.92E-35,4.48E-17
,,,1.948256881,33.69902627,33.69902627,1.41E-45,2.28E-35,2.89E-17
,,,1.953211009,33.68195936,33.68195936,8.06E-46,1.33E-35,1.85E-17
,,,1.958165138,33.66479305,33.66479305,4.61E-46,7.68E-36,1.19E-17
,,,1.963119266,33.64752734,33.64752734,2.64E-46,4.45E-36,7.60E-18
,,,1.968073394,33.63016222,33.63016222,1.50E-46,2.57E-36,4.84E-18
,,,1.973027523,33.61269771,33.61269771,8.57E-47,1.48E-36,3.08E-18
,,,1.977981651,33.59513379,33.59513379,4.87E-47,8.54E-37,1.96E-18
,,,1.98293578,33.57747047,33.57747047,2.77E-47,4.91E-37,1.24E-18
,,,1.987889908,33.55970775,33.55970775,1.57E-47,2.82E-37,7.83E-19
,,,1.992844037,33.54184562,33.54184562,8.90E-48,1.61E-37,4.94E-19
,,,1.997798165,33.52388409,33.52388409,5.04E-48,9.23E-38,3.10E-19
,,,2.002752294,33.50582316,33.50582316,2.85E-48,5.27E-38,1.95E-19
,,,2.007706422,33.48766283,33.48766283,1.61E-48,3.00E-38,1.22E-19
,,,2.01266055,33.46940309,33.46940309,9.04E-49,1.71E-38,7.61E-20
,,,2.017614679,33.45104395,33.45104395,5.09E-49,9.70E-39,4.74E-20
,,,2.022568807,33.43258541,33.43258541,2.86E-49,5.50E-39,2.95E-20
,,,2.027522936,33.41402747,33.41402747,1.60E-49,3.11E-39,1.83E-20
,,,2.032477064,33.39537013,33.39537013,8.98E-50,1.76E-39,1.13E-20
,,,2.037431193,33.37661338,33.37661338,5.02E-50,9.91E-40,6.98E-21
,,,2.042385321,33.35775723,33.35775723,2.81E-50,5.58E-40,4.30E-21
,,,2.04733945,33.33880168,33.33880168,1.57E-50,3.14E-40,2.64E-21
,,,2.052293578,33.31974673,33.31974673,8.72E-51,1.76E-40,1.62E-21
,,,2.057247706,33.30059237,33.30059237,4.85E-51,9.85E-41,9.89E-22
,,,2.062201835,33.28133861,33.28133861,2.69E-51,5.51E-41,6.03E-22
,,,2.067155963,33.26198545,33.26198545,1.49E-51,3.07E-41,3.67E-22
,,,2.072110092,33.24253288,33.24253288,8.28E-52,1.71E-41,2.23E-22
,,,2.07706422,33.22298092,33.22298092,4.58E-52,9.52E-42,1.35E-22
,,,2.082018349,33.20332955,33.20332955,2.53E-52,5.28E-42,8.16E-23
,,,2.086972477,33.18357878,33.18357878,1.39E-52,2.93E-42,4.92E-23
,,,2.091926606,33.16372861,33.16372861,7.68E-53,1.62E-42,2.96E-23
,,,2.096880734,33.14377903,33.14377903,4.22E-53,8.94E-43,1.77E-23
,,,2.101834862,33.12373005,33.12373005,2.32E-53,4.93E-43,1.06E-23
,,,2.106788991,33.10358167,33.10358167,1.27E-53,2.71E-43,6.35E-24
,,,2.111743119,33.08333389,33.08333389,6.97E-54,1.49E-43,3.78E-24
,,,2.116697248,33.06298671,33.06298671,3.81E-54,8.16E-44,2.25E-24
,,,2.121651376,33.04254012,33.04254012,2.08E-54,4.47E-44,1.33E-24
,,,2.126605505,33.02199413,33.02199413,1.14E-54,2.44E-44,7.89E-25
,,,2.131559633,33.00134874,33.00134874,6.18E-55,1.33E-44,4.65E-25
,,,2.136513761,32.98060394,32.98060394,3.36E-55,7.25E-45,2.74E-25
,,,2.14146789,32.95975975,32.95975975,1.83E-55,3.94E-45,1.61E-25
,,,2.146422018,32.93881615,32.93881615,9.90E-56,2.14E-45,9.44E-26
