Parameter,Value,Error,,x_data,y_data,yerr_data,x_fit,y_fit,y_bg
Chi-squared,2.348350395255902,,,-0.4,40.07746039,6.33067614,-0.4,48.126236789457074,48.126236789457074
bg_a,53.49179172053537,4.558781588447073,,-0.35,64.33126395,8.020677275,-0.39504587155963306,48.22857417362542,48.22857417362542
bg_b,6.079950990871569,8.38797360521101,,-0.3,74.91759645,8.655495159,-0.3900917431192661,48.33001155954622,48.33001155954622
bg_c,-18.33484084206039,6.3509923111898505,,-0.25,110.6322169,10.51818506,-0.3851376146788991,48.43054894721947,48.43054894721947
bg_d,6.431500474151744,1.8550919144486882,,-0.2,189.2249305,13.75590529,-0.38018348623853215,48.53018633664518,48.53018633664518
bg_e,-0.683734455214696,0.17807575007696702,,-0.15,292.973813,17.11647782,-0.3752293577981652,48.62892372782334,48.62892372782334
ratio_1,1.0,0,,-0.1,415.6797794,20.38822649,-0.3702752293577982,48.72676112075396,48.72676112075396
center_1,0.004017746649516781,0.0046057501180230675,,-0.05,508.0503184,22.53997157,-0.36532110091743125,48.82369851543702,48.82369851543702
area_1,156.09818625542337,5.9210040020712995,,0.0,536.0049915,23.1517816,-0.3603669724770643,48.91973591187255,48.91973591187255
G_FWHM_1,0.30622926602774964,0.010870789979165895,,0.05,497.5950362,22.30683833,-0.3554128440366973,49.01487331006053,49.01487331006053
L_FWHM_1,0.2,0,,0.1,410.9839784,20.27273978,-0.35045871559633035,49.10911071000096,49.10911071000096
,,,,0.15,302.002894,17.37823046,-0.3455045871559634,49.20244811169385,49.20244811169385
,,,,0.2,191.9551359,13.85478747,-0.3405504587155964,49.29488551513919,49.29488551513919
,,,,0.25,131.1429766,11.4517674,-0.33559633027522945,49.38642292033699,49.38642292033699
,,,,0.3,102.2722274,10.11297322,-0.3306422018348625,49.47706032728724,49.47706032728724
,,,,0.35,106.6400242,10.32666569,-0.3256880733944955,49.56679773598995,49.56679773598995
,,,,0.4,93.07805887,9.647697076,-0.32073394495412855,49.65563514644511,49.65563514644511
,,,,0.45,92.70156875,9.628165388,-0.3157798165137616,49.743572558652716,49.743572558652716
,,,,0.5,80.14824565,8.952555258,-0.3108256880733946,49.830609972612784,49.830609972612784
,,,,0.55,59.39111981,7.706563424,-0.30587155963302765,49.916747388325305,49.916747388325305
,,,,0.6,51.9918356,7.210536429,-0.3009174311926607,50.001984805790286,50.001984805790286
,,,,0.65,48.04378479,6.931362405,-0.2959633027522937,50.08632222500772,50.08632222500772
,,,,0.7,42.81917234,6.543636018,-0.29100917431192674,50.16975964597761,50.16975964597761
,,,,0.75,34.88926003,5.906713133,-0.2860550458715598,50.252297068699946,50.252297068699946
,,,,0.8,45.03124148,6.710532131,-0.2811009174311928,50.33393449317474,50.33393449317474
,,,,0.85,48.01826351,6.92952116,-0.27614678899082584,50.41467191940199,50.41467191940199
,,,,0.9,48.72699857,6.980472661,-0.2711926605504589,50.494509347381694,50.494509347381694
,,,,0.95,60.09604257,7.752163735,-0.2662385321100919,50.57344677711385,50.57344677711385
,,,,1.0,62.02000004,7.875277775,-0.26128440366972494,50.651484208598454,50.651484208598454
,,,,1.05,70.60004141,8.402383079,-0.256330275229358,50.728621641835524,50.728621641835524
,,,,1.1,56.73497325,7.53226216,-0.251376146788991,50.804859076825046,50.804859076825046
,,,,1.15,59.52985171,7.715559066,-0.24642201834862404,50.88019651356702,50.88019651356702
,,,,1.2,35.04224783,5.919649299,-0.24146788990825707,50.95463395206145,50.95463395206145
,,,,1.25,33.36410801,5.776167243,-0.2365137614678901,51.02817139230834,51.02817139230834
,,,,1.3,27.53874779,5.247737397,-0.23155963302752314,51.10080883430768,51.10080883430768
,,,,1.35,42.04117884,6.483916936,-0.22660550458715617,51.17254627805947,51.17254627805947
,,,,1.4,28.28365562,5.318238019,-0.2216513761467892,51.24338372356372,51.24338372356372
,,,,1.45,29.86017874,5.464446791,-0.21669724770642224,51.313321170820416,51.313321170820416
,,,,1.5,36.56133736,6.046597172,-0.21174311926605527,51.38235861982957,51.38235861982957
,,,,1.55,25.30142097,5.030051786,-0.2067889908256883,51.45049607059118,51.45049607059118
,,,,1.6,32.05179848,5.66143078,-0.20183486238532133,51.51773352310524,51.51773352310524
,,,,1.65,27.80454142,5.273001178,-0.19688073394495437,51.58407097737176,51.58407097737176
,,,,1.7,37.55781202,6.128442871,-0.1919266055045874,51.649508433390736,51.649508433390736
,,,,1.75,41.31125136,6.427382932,-0.18697247706422043,51.714045891162165,51.714045891162165
,,,,1.8,32.06480013,5.662578929,-0.18201834862385347,51.77768335068605,51.77768335068605
,,,,1.85,31.81845001,5.640784521,-0.1770642201834865,51.84042081196238,51.84042081196238
,,,,1.9,32.5722,5.707205971,-0.17211009174311953,51.902258274991176,51.902258274991176
,,,,1.95,34.32605,5.858843743,-0.16715596330275256,51.963195739772424,51.963195739772424
,,,,2.0,32.08,5.663920903,-0.1622018348623856,52.023233206306124,52.023233206306124
,,,,2.05,33.83405,5.816704393,-0.15724770642201863,52.08237067459227,52.08237067459227
,,,,2.1,34.5882,5.881173352,-0.15229357798165166,52.140608144630875,52.140608144630875
,,,,2.15,39.34245,6.272356017,-0.1473394495412847,52.19794561642194,52.19794561642194
,,,,2.2,30.0968,5.486055049,-0.14238532110091773,52.25438308996546,52.25438308996546
,,,,2.25,38.85125,6.233077089,-0.13743119266055076,52.30992056526143,52.30992056526143
,,,,2.3,37.6058,6.132356806,-0.1324770642201838,52.36455804230986,52.36455804230986
,,,,2.35,31.36045,5.600040178,-0.12752293577981683,52.418295521110736,52.418295521110736
,,,,2.4,28.1152,5.302376826,-0.12256880733944986,52.47113300166407,52.47113300166407
,,,,2.45,32.87005,5.733240794,-0.11761467889908289,52.52307048396986,52.52307048396986
,,,,2.5,29.625,5.442885264,-0.11266055045871592,52.57410796802811,52.57410796802811
,,,,2.55,31.38005,5.601789893,-0.10770642201834896,52.624245453838796,52.624245453838796
,,,,2.6,30.1352,5.489553716,-0.10275229357798199,52.67348294140195,52.67348294140195
,,,,2.65,36.89045,6.0737509,-0.09779816513761502,52.72182043071756,52.72182043071756
,,,,2.7,30.6458,5.535864883,-0.09284403669724806,52.769257921785616,52.769257921785616
,,,,2.75,25.40125,5.039965278,-0.08788990825688109,52.815795414606136,52.815795414606136
,,,,2.8,31.1568,5.581827658,-0.08293577981651412,52.8614329091791,52.8614329091791
,,,,2.85,26.91245,5.18772108,-0.07798165137614715,52.906170405504525,52.906170405504525
,,,,2.9,34.6682,5.887970788,-0.07302752293578019,52.95000790358241,52.95000790358241
,,,,2.95,18.42405,4.292324545,-0.06807339449541322,52.99294540341274,52.99294540341274
,,,,3.0,29.18,5.401851534,-0.06311926605504625,53.03498290499553,53.03498290499553
,,,,3.05,18.93605,4.351557193,-0.058165137614679285,53.076120408330766,53.076120408330766
,,,,3.1,27.6922,5.262337883,-0.05321100917431232,53.11635791341846,53.11635791341846
,,,,3.15,30.44845,5.518011417,-0.04825688073394535,53.15569542025861,53.15569542025861
,,,,3.2,34.2048,5.848486984,-0.043302752293578384,53.19413292885121,53.19413292885121
,,,,3.25,30.96125,5.564283422,-0.03834862385321142,53.23167043919627,53.23167043919627
,,,,3.3,28.7178,5.358899141,-0.03339449541284445,53.268307951293785,53.268307951293785
,,,,3.35,28.47445,5.336145613,-0.028440366972477482,53.30404546514376,53.30404546514376
,,,,3.4,27.2312,5.21835223,-0.023486238532110515,53.33888298074618,53.33888298074618
,,,,3.45,25.98805,5.097847585,-0.018532110091743548,53.372820498101056,53.372820498101056
,,,,3.5,30.745,5.5448174,-0.01357798165137658,53.40585801720839,53.40585801720839
,,,,3.55,16.50205,4.062271532,-0.008623853211009613,53.43799553806817,53.43799553806817
,,,,3.6,20.2592,4.501022106,-0.003669724770642646,53.46923306068041,53.46923306068041
,,,,3.65,16.01645,4.002055722,0.001284403669724321,53.4995705850451,53.4995705850451
,,,,3.7,26.7738,5.174340538,0.006238532110091288,53.52900811116225,53.52900811116225
,,,,3.75,31.53125,5.615269361,0.011192660550458255,53.55754563903185,53.55754563903185
,,,,3.8,15.2888,3.910089513,0.016146788990825223,53.585183168653906,53.585183168653906
,,,,3.85,14.04645,3.747859389,0.02110091743119219,53.61192070002842,53.61192070002842
,,,,3.9,18.8042,4.33638098,0.026055045871559157,53.63775823315539,53.63775823315539
,,,,3.95,27.56205,5.249957143,0.031009174311926124,53.66269576803481,53.66269576803481
,,,,4.0,19.32,4.395452195,0.03596330275229309,53.68673330466668,53.68673330466668
,,,,4.05,20.07805,4.480853713,0.04091743119266006,53.709870843051014,53.709870843051014
,,,,4.1,18.8362,4.340069124,0.045871559633027026,53.73210838318779,53.73210838318779
,,,,4.15,20.59445,4.53811084,0.05082568807339399,53.75344592507703,53.75344592507703
,,,,4.2,10.3528,3.217576728,0.05577981651376096,53.77388346871872,53.77388346871872
,,,,4.25,17.11125,4.13657467,0.06073394495412793,53.793421014112866,53.793421014112866
,,,,4.3,11.8698,3.44525761,0.0656880733944949,53.81205856125947,53.81205856125947
,,,,4.35,24.62845,4.962705915,0.07064220183486186,53.829796110158526,53.829796110158526
,,,,4.4,13.3872,3.658852279,0.07559633027522883,53.846633660810035,53.846633660810035
,,,,4.45,17.14605,4.140778912,0.0805504587155958,53.862571213214,53.862571213214
,,,,4.5,20.905,4.572198596,0.08550458715596276,53.87760876737042,53.87760876737042
,,,,4.55,9.66405,3.108705518,0.09045871559632973,53.89174632327929,53.89174632327929
,,,,4.6,26.4232,5.140350183,0.0954128440366967,53.90498388094062,53.90498388094062
,,,,4.65,14.18245,3.765959373,0.10036697247706361,53.9173214403544,53.9173214403544
,,,,4.7,11.9418,3.455690958,0.10532110091743063,53.928759001520625,53.928759001520625
,,,,4.75,18.70125,4.32449419,0.11027522935779766,53.93929656443932,53.93929656443932
,,,,4.8,19.4608,4.411439674,0.11522935779816457,53.94893412911046,53.94893412911046
,,,,4.85,20.22045,4.496715468,0.12018348623853148,53.95767169553406,53.95767169553406
,,,,4.9,11.9802,3.461242551,0.1251376146788985,53.96550926371012,53.96550926371012
,,,,4.95,15.74005,3.967373186,0.13009174311926552,53.97244683363863,53.97244683363863
,,,,5.0,0.0,1.0,0.13504587155963244,53.978484405319584,53.978484405319584
,,,,,,,0.13999999999999935,53.98362197875301,53.98362197875301
,,,,,,,0.14495412844036637,53.987859553938875,53.987859553938875
,,,,,,,0.1499082568807334,53.991197130877204,53.991197130877204
,,,,,,,0.1548623853211003,53.99363470956798,53.99363470956798
,,,,,,,0.15981651376146722,53.99517229001121,53.99517229001121
,,,,,,,0.16477064220183424,53.9958098722069,53.9958098722069
,,,,,,,0.16972477064220126,53.99554745615504,53.99554745615504
,,,,,,,0.17467889908256817,53.99438504185564,53.99438504185564
,,,,,,,0.17963302752293508,53.99232262930869,53.99232262930869
,,,,,,,0.1845871559633021,53.98936021851419,53.98936021851419
,,,,,,,0.18954128440366913,53.98549780947216,53.98549780947216
,,,,,,,0.19449541284403604,53.980735402182574,53.980735402182574
,,,,,,,0.19944954128440295,53.97507299664544,53.97507299664544
,,,,,,,0.20440366972476998,53.96851059286077,53.96851059286077
,,,,,,,0.209357798165137,53.96104819082854,53.96104819082854
,,,,,,,0.2143119266055039,53.95268579054877,53.95268579054877
,,,,,,,0.21926605504587082,53.94342339202146,53.94342339202146
,,,,,,,0.22422018348623785,53.9332609952466,53.9332609952466
,,,,,,,0.22917431192660487,53.92219860022419,53.92219860022419
,,,,,,,0.23412844036697178,53.91023620695424,53.91023620695424
,,,,,,,0.2390825688073387,53.897373815436744,53.897373815436744
,,,,,,,0.24403669724770571,53.8836114256717,53.8836114256717
,,,,,,,0.24899082568807274,53.868949037659114,53.868949037659114
,,,,,,,0.25394495412843965,53.853386651398985,53.853386651398985
,,,,,,,0.25889908256880656,53.83692426689131,53.83692426689131
,,,,,,,0.2638532110091736,53.81956188413608,53.81956188413608
,,,,,,,0.2688073394495406,53.80129950313331,53.80129950313331
,,,,,,,0.2737614678899075,53.78213712388299,53.78213712388299
,,,,,,,0.27871559633027443,53.76207474638513,53.76207474638513
,,,,,,,0.28366972477064145,53.741112370639726,53.741112370639726
,,,,,,,0.2886238532110085,53.719249996646774,53.719249996646774
,,,,,,,0.2935779816513754,53.696487624406274,53.696487624406274
,,,,,,,0.2985321100917423,53.672825253918234,53.672825253918234
,,,,,,,0.3034862385321093,53.64826288518264,53.64826288518264
,,,,,,,0.30844036697247634,53.622800518199504,53.622800518199504
,,,,,,,0.31339449541284325,53.59643815296883,53.59643815296883
,,,,,,,0.31834862385321017,53.56917578949059,53.56917578949059
,,,,,,,0.3233027522935772,53.541013427764824,53.541013427764824
,,,,,,,0.3282568807339442,53.51195106779151,53.51195106779151
,,,,,,,0.3332110091743111,53.48198870957064,53.48198870957064
,,,,,,,0.33816513761467804,53.45112635310224,53.45112635310224
,,,,,,,0.34311926605504506,53.41936399838628,53.41936399838628
,,,,,,,0.3480733944954121,53.38670164542278,53.38670164542278
,,,,,,,0.353027522935779,53.353139294211736,53.353139294211736
,,,,,,,0.3579816513761459,53.31867694475315,53.31867694475315
,,,,,,,0.3629357798165129,53.28331459704701,53.28331459704701
,,,,,,,0.36788990825687995,53.24705225109333,53.24705225109333
,,,,,,,0.37284403669724686,53.209889906892094,53.209889906892094
,,,,,,,0.3777981651376138,53.17182756444332,53.17182756444332
,,,,,,,0.3827522935779808,53.132865223747004,53.132865223747004
,,,,,,,0.3877064220183478,53.093002884803134,53.093002884803134
,,,,,,,0.39266055045871473,53.052240547611724,53.052240547611724
,,,,,,,0.39761467889908164,53.010578212172774,53.010578212172774
,,,,,,,0.40256880733944866,52.96801587848627,52.96801587848627
,,,,,,,0.4075229357798157,52.92455354655222,52.92455354655222
,,,,,,,0.4124770642201826,52.880191216370626,52.880191216370626
,,,,,,,0.4174311926605495,52.83492888794149,52.83492888794149
,,,,,,,0.42238532110091653,52.7887665612648,52.7887665612648
,,,,,,,0.42733944954128356,52.74170423634057,52.74170423634057
,,,,,,,0.43229357798165047,52.69374191316879,52.69374191316879
,,,,,,,0.4372477064220174,52.64487959174947,52.64487959174947
,,,,,,,0.4422018348623844,52.59511727208261,52.59511727208261
,,,,,,,0.4471559633027514,52.544454954168195,52.544454954168195
,,,,,,,0.45211009174311834,52.49289263800624,52.49289263800624
,,,,,,,0.45706422018348525,52.440430323596736,52.440430323596736
,,,,,,,0.46201834862385227,52.387068010939686,52.387068010939686
,,,,,,,0.4669724770642193,52.33280570003509,52.33280570003509
,,,,,,,0.4719266055045862,52.27764339088295,52.27764339088295
,,,,,,,0.4768807339449531,52.22158108348326,52.22158108348326
,,,,,,,0.48183486238532014,52.164618777836026,52.164618777836026
,,,,,,,0.48678899082568716,52.106756473941246,52.106756473941246
,,,,,,,0.4917431192660541,52.047994171798926,52.047994171798926
,,,,,,,0.496697247706421,51.98833187140906,51.98833187140906
,,,,,,,0.501651376146788,51.927769572771645,51.927769572771645
,,,,,,,0.506605504587155,51.86630727588668,51.86630727588668
,,,,,,,0.5115596330275219,51.80394498075418,51.80394498075418
,,,,,,,0.5165137614678889,51.74068268737413,51.74068268737413
,,,,,,,0.5214678899082559,51.676520395746536,51.676520395746536
,,,,,,,0.5264220183486229,51.61145810587139,51.61145810587139
,,,,,,,0.5313761467889898,51.545495817748694,51.545495817748694
,,,,,,,0.5363302752293567,51.47863353137846,51.47863353137846
,,,,,,,0.5412844036697237,51.410871246760685,51.410871246760685
,,,,,,,0.5462385321100908,51.34220896389536,51.34220896389536
,,,,,,,0.5511926605504577,51.27264668278249,51.27264668278249
,,,,,,,0.5561467889908246,51.20218440342207,51.20218440342207
,,,,,,,0.5611009174311916,51.13082212581411,51.13082212581411
,,,,,,,0.5660550458715586,51.058559849958606,51.058559849958606
,,,,,,,0.5710091743119255,50.98539757585555,50.98539757585555
,,,,,,,0.5759633027522925,50.911335303504956,50.911335303504956
,,,,,,,0.5809174311926595,50.83637303290681,50.83637303290681
,,,,,,,0.5858715596330265,50.76051076406111,50.76051076406111
,,,,,,,0.5908256880733934,50.68374849696788,50.68374849696788
,,,,,,,0.5957798165137603,50.606086231627096,50.606086231627096
,,,,,,,0.6007339449541272,50.52752396803877,50.52752396803877
,,,,,,,0.6056880733944944,50.4480617062029,50.4480617062029
,,,,,,,0.6106422018348613,50.36769944611948,50.36769944611948
,,,,,,,0.6155963302752282,50.28643718778852,50.28643718778852
,,,,,,,0.6205504587155953,50.20427493121001,50.20427493121001
,,,,,,,0.6255045871559622,50.121212676383955,50.121212676383955
,,,,,,,0.6304587155963292,50.037250423310354,50.037250423310354
,,,,,,,0.6354128440366961,49.9523881719892,49.9523881719892
,,,,,,,0.640366972477063,49.86662592242051,49.86662592242051
,,,,,,,0.6453211009174301,49.77996367460427,49.77996367460427
,,,,,,,0.650275229357797,49.69240142854049,49.69240142854049
,,,,,,,0.6552293577981639,49.60393918422916,49.60393918422916
,,,,,,,0.6601834862385311,49.514576941670285,49.514576941670285
,,,,,,,0.665137614678898,49.42431470086387,49.42431470086387
,,,,,,,0.6700917431192649,49.3331524618099,49.3331524618099
,,,,,,,0.6750458715596318,49.24109022450839,49.24109022450839
,,,,,,,0.6799999999999987,49.14812798895934,49.14812798895934
,,,,,,,0.6849541284403659,49.05426575516273,49.05426575516273
,,,,,,,0.6899082568807328,48.95950352311858,48.95950352311858
,,,,,,,0.6948623853210997,48.86384129282688,48.86384129282688
,,,,,,,0.6998165137614668,48.76727906428764,48.76727906428764
,,,,,,,0.7047706422018337,48.66981683750086,48.66981683750086
,,,,,,,0.7097247706422006,48.57145461246653,48.57145461246653
,,,,,,,0.7146788990825675,48.472192389184656,48.472192389184656
,,,,,,,0.7196330275229345,48.37203016765524,48.37203016765524
,,,,,,,0.7245871559633016,48.27096794787826,48.27096794787826
,,,,,,,0.7295412844036685,48.16900572985375,48.16900572985375
,,,,,,,0.7344954128440354,48.066143513581686,48.066143513581686
,,,,,,,0.7394495412844025,47.96238129906209,47.96238129906209
,,,,,,,0.7444036697247695,47.857719086294935,47.857719086294935
,,,,,,,0.7493577981651364,47.752156875280235,47.752156875280235
,,,,,,,0.7543119266055033,47.645694666018,47.645694666018
,,,,,,,0.7592660550458702,47.538332458508215,47.538332458508215
,,,,,,,0.7642201834862373,47.43007025275088,47.43007025275088
,,,,,,,0.7691743119266042,47.320908048746,47.320908048746
,,,,,,,0.7741284403669711,47.210845846493584,47.210845846493584
,,,,,,,0.7790825688073383,47.09988364599361,47.09988364599361
,,,,,,,0.7840366972477052,46.98802144724609,46.98802144724609
,,,,,,,0.7889908256880721,46.875259250251034,46.875259250251034
,,,,,,,0.793944954128439,46.76159705500842,46.76159705500842
,,,,,,,0.7988990825688059,46.64703486151827,46.64703486151827
,,,,,,,0.8038532110091731,46.53157266978057,46.53157266978057
,,,,,,,0.80880733944954,46.41521047979533,46.41521047979533
,,,,,,,0.8137614678899069,46.29794829156254,46.29794829156254
,,,,,,,0.818715596330274,46.1797861050822,46.1797861050822
,,,,,,,0.8236697247706409,46.06072392035432,46.06072392035432
,,,,,,,0.8286238532110078,45.9407617373789,45.9407617373789
,,,,,,,0.8335779816513748,45.81989955615593,45.81989955615593
,,,,,,,0.8385321100917417,45.69813737668541,45.69813737668541
,,,,,,,0.8434862385321088,45.57547519896735,45.57547519896735
,,,,,,,0.8484403669724757,45.45191302300174,45.45191302300174
,,,,,,,0.8533944954128426,45.32745084878859,45.32745084878859
,,,,,,,0.8583486238532098,45.20208867632788,45.20208867632788
,,,,,,,0.8633027522935767,45.07582650561964,45.07582650561964
,,,,,,,0.8682568807339436,44.94866433666385,44.94866433666385
,,,,,,,0.8732110091743105,44.820602169460514,44.820602169460514
,,,,,,,0.8781651376146774,44.691640004009635,44.691640004009635
,,,,,,,0.8831192660550445,44.5617778403112,44.5617778403112
,,,,,,,0.8880733944954115,44.43101567836523,44.43101567836523
,,,,,,,0.8930275229357784,44.29935351817171,44.29935351817171
,,,,,,,0.8979816513761455,44.166791359730645,44.166791359730645
,,,,,,,0.9029357798165124,44.03332920304204,44.03332920304204
,,,,,,,0.9078899082568793,43.898967048105874,43.898967048105874
,,,,,,,0.9128440366972462,43.76370489492218,43.76370489492218
,,,,,,,0.9177981651376131,43.627542743490935,43.627542743490935
,,,,,,,0.9227522935779803,43.49048059381214,43.49048059381214
,,,,,,,0.9277064220183472,43.3525184458858,43.3525184458858
,,,,,,,0.9326605504587141,43.213656299711914,43.213656299711914
,,,,,,,0.9376146788990812,43.07389415529048,43.07389415529048
,,,,,,,0.9425688073394481,42.93323201262151,42.93323201262151
,,,,,,,0.9475229357798151,42.79166987170498,42.79166987170498
,,,,,,,0.952477064220182,42.649207732540916,42.649207732540916
,,,,,,,0.9574311926605489,42.50584559512931,42.50584559512931
,,,,,,,0.962385321100916,42.36158345947015,42.36158345947015
,,,,,,,0.9673394495412829,42.216421325563445,42.216421325563445
,,,,,,,0.9722935779816498,42.0703591934092,42.0703591934092
,,,,,,,0.977247706422017,41.9233970630074,41.9233970630074
,,,,,,,0.9822018348623839,41.77553493435806,41.77553493435806
,,,,,,,0.9871559633027508,41.62677280746118,41.62677280746118
,,,,,,,0.9921100917431177,41.47711068231675,41.47711068231675
,,,,,,,0.9970642201834846,41.32654855892477,41.32654855892477
,,,,,,,1.0020183486238516,41.175086437285245,41.175086437285245
,,,,,,,1.0069724770642186,41.02272431739818,41.02272431739818
,,,,,,,1.0119266055045855,40.869462199263566,40.869462199263566
,,,,,,,1.0168807339449528,40.71530008288139,40.71530008288139
,,,,,,,1.0218348623853197,40.56023796825169,40.56023796825169
,,,,,,,1.0267889908256866,40.404275855374436,40.404275855374436
,,,,,,,1.0317431192660536,40.24741374424964,40.24741374424964
,,,,,,,1.0366972477064205,40.089651634877306,40.089651634877306
,,,,,,,1.0416513761467874,39.930989527257424,39.930989527257424
,,,,,,,1.0466055045871543,39.77142742138999,39.77142742138999
,,,,,,,1.0515596330275212,39.610965317275,39.610965317275
,,,,,,,1.0565137614678886,39.44960321491247,39.44960321491247
,,,,,,,1.0614678899082555,39.2873411143024,39.2873411143024
,,,,,,,1.0664220183486224,39.12417901544479,39.12417901544479
,,,,,,,1.0713761467889893,38.96011691833963,38.96011691833963
,,,,,,,1.0763302752293562,38.79515482298692,38.79515482298692
,,,,,,,1.0812844036697231,38.62929272938668,38.62929272938668
,,,,,,,1.08623853211009,38.462530637538876,38.462530637538876
,,,,,,,1.091192660550457,38.294868547443535,38.294868547443535
,,,,,,,1.0961467889908243,38.12630645910063,38.12630645910063
,,,,,,,1.1011009174311912,37.956844372510204,37.956844372510204
,,,,,,,1.1060550458715581,37.78648228767222,37.78648228767222
,,,,,,,1.111009174311925,37.6152202045867,37.6152202045867
,,,,,,,1.115963302752292,37.44305812325362,37.44305812325362
,,,,,,,1.1209174311926589,37.269996043673004,37.269996043673004
,,,,,,,1.1258715596330258,37.096033965844846,37.096033965844846
,,,,,,,1.1308256880733927,36.92117188976914,36.92117188976914
,,,,,,,1.13577981651376,36.74540981544587,36.74540981544587
,,,,,,,1.140733944954127,36.568747742875075,36.568747742875075
,,,,,,,1.1456880733944939,36.39118567205672,36.39118567205672
,,,,,,,1.1506422018348608,36.212723602990835,36.212723602990835
,,,,,,,1.1555963302752277,36.0333615356774,36.0333615356774
,,,,,,,1.1605504587155946,35.85309947011642,35.85309947011642
,,,,,,,1.1655045871559615,35.67193740630789,35.67193740630789
,,,,,,,1.1704587155963284,35.48987534425182,35.48987534425182
,,,,,,,1.1754128440366958,35.306913283948184,35.306913283948184
,,,,,,,1.1803669724770627,35.12305122539702,35.12305122539702
,,,,,,,1.1853211009174296,34.93828916859832,34.93828916859832
,,,,,,,1.1902752293577965,34.752627113552066,34.752627113552066
,,,,,,,1.1952293577981634,34.56606506025827,34.56606506025827
,,,,,,,1.2001834862385303,34.378603008716915,34.378603008716915
,,,,,,,1.2051376146788972,34.19024095892803,34.19024095892803
,,,,,,,1.2100917431192642,34.00097891089159,34.00097891089159
,,,,,,,1.2150458715596315,33.81081686460759,33.81081686460759
,,,,,,,1.2199999999999984,33.61975482007606,33.61975482007606
,,,,,,,1.2249541284403653,33.42779277729698,33.42779277729698
,,,,,,,1.2299082568807322,33.23493073627036,33.23493073627036
,,,,,,,1.2348623853210992,33.041168696996195,33.041168696996195
,,,,,,,1.239816513761466,32.846506659474485,32.846506659474485
,,,,,,,1.244770642201833,32.65094462370523,32.65094462370523
,,,,,,,1.2497247706422,32.45448258968843,32.45448258968843
,,,,,,,1.2546788990825672,32.25712055742406,32.25712055742406
,,,,,,,1.2596330275229342,32.058858526912175,32.058858526912175
